ds,trend,confirmed,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,country
3/22/2021,334.5735016,489,297,671,334.5735016,334.5735016,0,0,0,0,0,0,0.460248027,0.460248027,0.460248027,0.460248027,0.460248027,0.460248027,Croatia
3/23/2021,344.1723864,812,616,1010,344.1723864,344.1723864,0,0,0,0,0,0,1.360454237,1.360454237,1.360454237,1.360454237,1.360454237,1.360454237,Croatia
3/24/2021,353.7712712,1310,1116,1509,351.1949466,353.7712712,0,0,0,0,0,0,2.704192304,2.704192304,2.704192304,2.704192304,2.704192304,2.704192304,Croatia
3/25/2021,363.370156,1449,1248,1648,357.0501275,365.0904959,0,0,0,0,0,0,2.988926845,2.988926845,2.988926845,2.988926845,2.988926845,2.988926845,Croatia
3/26/2021,372.9690409,1374,1128,1587,359.6835933,379.3424044,0,0,0,0,0,0,2.68483858,2.68483858,2.68483858,2.68483858,2.68483858,2.68483858,Croatia
3/27/2021,382.5679257,1377,1147,1593,363.0909148,394.073159,0,0,0,0,0,0,2.599004196,2.599004196,2.599004196,2.599004196,2.599004196,2.599004196,Croatia
3/21/2021,3020.097755,5749,4608,6900,3020.097755,3020.097755,0,0,0,0,0,0,0.903637835,0.903637835,0.903637835,0.903637835,0.903637835,0.903637835,Czechia
3/22/2021,2961.888227,4400,3158,5552,2961.888227,2961.888227,0,0,0,0,0,0,0.485500666,0.485500666,0.485500666,0.485500666,0.485500666,0.485500666,Czechia
3/23/2021,2903.6787,9854,8758,11053,2903.35616,2903.6787,0,0,0,0,0,0,2.393733058,2.393733058,2.393733058,2.393733058,2.393733058,2.393733058,Czechia
3/24/2021,2845.469172,11806,10607,13000,2831.062167,2854.098548,0,0,0,0,0,0,3.148937997,3.148937997,3.148937997,3.148937997,3.148937997,3.148937997,Czechia
3/25/2021,2787.259644,10981,9811,12162,2755.248169,2811.404375,0,0,0,0,0,0,2.939773696,2.939773696,2.939773696,2.939773696,2.939773696,2.939773696,Czechia
3/26/2021,2729.050116,9894,8725,11125,2675.628802,2776.037228,0,0,0,0,0,0,2.625603233,2.625603233,2.625603233,2.625603233,2.625603233,2.625603233,Czechia
3/27/2021,2670.840588,8943,7725,10186,2587.817053,2739.989846,0,0,0,0,0,0,2.348482865,2.348482865,2.348482865,2.348482865,2.348482865,2.348482865,Czechia
3/21/2021,279.8662097,670,422,905,279.8662097,279.8662097,0,0,0,0,0,0,1.393166739,1.393166739,1.393166739,1.393166739,1.393166739,1.393166739,Denmark
3/22/2021,283.8186894,765,526,1018,283.8186894,283.8186894,0,0,0,0,0,0,1.696767123,1.696767123,1.696767123,1.696767123,1.696767123,1.696767123,Denmark
3/23/2021,287.7711692,739,486,983,287.7380859,287.7711692,0,0,0,0,0,0,1.568993502,1.568993502,1.568993502,1.568993502,1.568993502,1.568993502,Denmark
3/24/2021,291.7236489,886,633,1140,290.436994,293.0044668,0,0,0,0,0,0,2.038034668,2.038034668,2.038034668,2.038034668,2.038034668,2.038034668,Denmark
3/25/2021,295.6761287,878,646,1125,291.6123429,299.5596763,0,0,0,0,0,0,1.969660995,1.969660995,1.969660995,1.969660995,1.969660995,1.969660995,Denmark
3/26/2021,299.6286084,974,746,1240,292.3995456,307.1881682,0,0,0,0,0,0,2.249397648,2.249397648,2.249397648,2.249397648,2.249397648,2.249397648,Denmark
3/27/2021,303.5810882,847,616,1097,292.8331142,315.2642461,0,0,0,0,0,0,1.788629087,1.788629087,1.788629087,1.788629087,1.788629087,1.788629087,Denmark
3/21/2021,120.3392969,317,78,548,120.3392969,120.3392969,0,0,0,0,0,0,1.637447489,1.637447489,1.637447489,1.637447489,1.637447489,1.637447489,Dominican Republic
3/22/2021,113.2865855,225,-12,439,113.2865855,113.2865855,0,0,0,0,0,0,0.985509584,0.985509584,0.985509584,0.985509584,0.985509584,0.985509584,Dominican Republic
3/23/2021,106.233874,176,-52,389,106.233874,106.3265581,0,0,0,0,0,0,0.652587037,0.652587037,0.652587037,0.652587037,0.652587037,0.652587037,Dominican Republic
3/24/2021,99.18116252,245,22,478,98.87559366,100.2459777,0,0,0,0,0,0,1.474687106,1.474687106,1.474687106,1.474687106,1.474687106,1.474687106,Dominican Republic
3/25/2021,92.12845105,252,12,492,90.74813182,94.61099833,0,0,0,0,0,0,1.737497673,1.737497673,1.737497673,1.737497673,1.737497673,1.737497673,Dominican Republic
3/26/2021,85.07573958,227,-18,461,82.21063633,88.80966245,0,0,0,0,0,0,1.663560845,1.663560845,1.663560845,1.663560845,1.663560845,1.663560845,Dominican Republic
3/27/2021,78.02302811,241,17,478,74.15479929,83.53803132,0,0,0,0,0,0,2.094588206,2.094588206,2.094588206,2.094588206,2.094588206,2.094588206,Dominican Republic
3/21/2021,186.6056832,626,545,708,186.6056832,186.6056832,0,0,0,0,0,0,2.35221229,2.35221229,2.35221229,2.35221229,2.35221229,2.35221229,Egypt
3/22/2021,186.9813409,643,553,727,186.9813409,186.9813409,0,0,0,0,0,0,2.437917444,2.437917444,2.437917444,2.437917444,2.437917444,2.437917444,Egypt
3/23/2021,187.3569986,633,543,719,187.3569986,187.8296938,0,0,0,0,0,0,2.378119309,2.378119309,2.378119309,2.378119309,2.378119309,2.378119309,Egypt
3/24/2021,187.7326563,633,551,726,187.3605627,189.7612583,0,0,0,0,0,0,2.374234927,2.374234927,2.374234927,2.374234927,2.374234927,2.374234927,Egypt
3/25/2021,188.1083141,644,552,745,186.57919,191.8991291,0,0,0,0,0,0,2.423746767,2.423746767,2.423746767,2.423746767,2.423746767,2.423746767,Egypt
3/26/2021,188.4839718,669,579,771,185.1197978,194.6023194,0,0,0,0,0,0,2.551472084,2.551472084,2.551472084,2.551472084,2.551472084,2.551472084,Egypt
3/27/2021,188.8596295,641,543,753,182.9827674,197.4239814,0,0,0,0,0,0,2.392507525,2.392507525,2.392507525,2.392507525,2.392507525,2.392507525,Egypt
3/21/2021,647.1682163,1215,1131,1293,647.1682163,647.1682163,0,0,0,0,0,0,0.87784748,0.87784748,0.87784748,0.87784748,0.87784748,0.87784748,Estonia
